S.No,L,W,F,S11
152,24.64,24.66,2.83,-4.949676689
153,25.04,24.66,2.79,-4.937712067
154,25.44,24.66,2.75,-4.951742162
155,25.84,24.66,2.7,-4.9443645
156,26.24,24.66,2.66,-4.925172821
157,16.24,25.06,4.18,-31.72756834
158,16.64,25.06,4.11,-26.97070995
159,17.04,25.06,4.02,-25.99165814
160,17.44,25.06,3.95,-26.08045724
161,17.84,25.06,3.88,-24.77861144
162,18.24,25.06,3.8,-24.16439008
163,18.64,25.06,3.73,-23.26806998
164,19.04,25.06,3.66,-22.68519974
165,19.44,25.06,3.6,-21.70756248
166,19.84,25.06,3.53,-20.85087094
167,20.24,25.06,3.47,-20.33967943
168,20.64,25.06,3.41,-19.12005663
169,21.04,25.06,3.35,-19.56417692
170,21.44,25.06,3.26,-5.552561333
171,21.84,25.06,3.2,-5.365658464
172,22.24,25.06,3.14,-5.275009535
173,22.64,25.06,3.08,-5.18739005
174,23.04,25.06,3.03,-5.142232076
175,23.44,25.06,2.97,-5.117470083
176,23.84,25.06,2.92,-5.087645327
177,24.24,25.06,2.88,-5.067106198
178,24.64,25.06,2.83,-5.05649016
179,25.04,25.06,2.79,-5.041423412
180,25.44,25.06,2.74,-5.035909081
181,25.84,25.06,2.7,-5.026105646
182,26.24,25.06,2.66,-5.03020199
183,16.24,25.46,4.18,-32.72552195
184,16.64,25.46,4.09,-33.31178946
185,17.04,25.46,4.01,-30.24891891
186,17.44,25.46,3.94,-28.80505474
187,17.84,25.46,3.87,-28.0669908
188,18.24,25.46,3.8,-25.73278087
189,18.64,25.46,3.73,-24.95556498
190,19.04,25.46,3.65,-24.0195729
191,19.44,25.46,3.59,-23.60625735
192,19.84,25.46,3.53,-22.23282554
193,20.24,25.46,3.47,-21.34250453
194,20.64,25.46,3.41,-20.30235203
195,21.04,25.46,3.35,-21.18179004
196,21.44,25.46,3.26,-5.698106666
197,21.84,25.46,3.19,-5.481317297
198,22.24,25.46,3.14,-5.386327562
199,22.64,25.46,3.08,-5.322490276
200,23.04,25.46,3.02,-5.250006073
201,23.44,25.46,2.97,-5.204745929
202,23.84,25.46,2.92,-5.208162176
203,24.24,25.46,2.87,-5.166040465
204,24.64,25.46,2.83,-5.143640055
205,25.04,25.46,2.78,-5.150335928
206,25.44,25.46,2.74,-5.164004242
207,25.84,25.46,2.7,-5.144113412
208,26.24,25.46,2.66,-5.139916773
209,16.24,25.86,4.17,-33.72439847
210,16.64,25.86,4.07,-34.46379351
211,17.04,25.86,4.01,-41.05175946
212,17.44,25.86,3.94,-34.87274672
213,17.84,25.86,3.86,-31.2943029
214,18.24,25.86,3.79,-30.17997431
215,18.64,25.86,3.72,-27.64941442
216,19.04,25.86,3.65,-26.92248115
217,19.44,25.86,3.59,-25.5097956
218,19.84,25.86,3.52,-23.64443825
219,20.24,25.86,3.46,-23.05033166
220,20.64,25.86,3.4,-22.40123216
221,21.04,25.86,3.35,-22.25389529
222,21.44,25.86,3.26,-5.809599295
223,21.84,25.86,3.19,-5.62127689
224,22.24,25.86,3.13,-5.504070531
225,22.64,25.86,3.08,-5.422273702
226,23.04,25.86,3.02,-5.381321547
227,23.44,25.86,2.97,-5.320224166
228,23.84,25.86,2.92,-5.3004577
229,24.24,25.86,2.87,-5.276875095
230,24.64,25.86,2.83,-5.276084956
231,25.04,25.86,2.78,-5.245478704
232,25.44,25.86,2.74,-5.249463745
233,25.84,25.86,2.7,-5.264137798
234,26.24,25.86,2.66,-5.242303292
235,16.24,26.26,4.16,-28.80178003
236,16.64,26.26,4.09,-30.36011322
237,17.04,26.26,4,-35.19569427
238,17.44,26.26,3.93,-58.26307211
239,17.84,26.26,3.86,-35.79290155
240,18.24,26.26,3.78,-32.22449224
241,18.64,26.26,3.71,-31.86685186
242,19.04,26.26,3.64,-27.97836321
243,19.44,26.26,3.58,-26.774694
244,19.84,26.26,3.52,-25.66960199
245,20.24,26.26,3.46,-24.26014354
246,20.64,26.26,3.4,-22.65962184
247,21.04,26.26,3.34,-24.65548921
248,21.44,26.26,3.25,-5.943651674
249,21.84,26.26,3.19,-5.738596838
250,22.24,26.26,3.13,-5.621378673
251,22.64,26.26,3.07,-5.545361634
252,23.04,26.26,3.02,-5.500790462
253,23.44,26.26,2.97,-5.45368133
254,23.84,26.26,2.92,-5.419168632
255,24.24,26.26,2.87,-5.380692791
256,24.64,26.26,2.82,-5.376991354
257,25.04,26.26,2.78,-5.35598004
258,25.44,26.26,2.74,-5.369186118
259,25.84,26.26,2.7,-5.374369613
260,26.24,26.26,2.66,-5.346527631
261,16.24,26.66,4.15,-23.8723666
262,16.64,26.66,4.09,-28.5030654
263,17.04,26.66,4,-28.95454399
264,17.44,26.66,3.92,-35.13893904
265,17.84,26.66,3.85,-34.11578923
266,18.24,26.66,3.78,-31.02418205
