S.No,L,W,F,S11
666,22.24,32.66,4.28,-17.92225629
667,22.64,32.66,4.27,-19.8214829
668,23.04,32.66,4.27,-21.78248043
669,23.44,32.66,4.26,-24.03148029
670,23.84,32.66,4.26,-27.26810794
671,24.24,32.66,4.26,-30.89084538
672,24.64,32.66,4.25,-36.09730229
673,25.04,32.66,4.25,-35.55246893
674,25.44,32.66,4.24,-27.40310107
675,25.84,32.66,4.24,-24.70802302
676,26.24,32.66,4.24,-22.54739923
